,index,date,season,team1,team2,score1,score2,team1_elo,team2_elo
173,32307,1990-11-27,1991,SAC,MIN,80.0,89.0,1385.0527664201963,1445.2012767961699
174,32308,1990-11-27,1991,SEA,SAS,111.0,124.0,1455.213097434852,1570.5642306606062
175,32309,1990-11-27,1991,WSB,GSW,115.0,113.0,1447.9927079229653,1507.4054875242693
176,32310,1990-11-27,1991,ATL,DET,97.0,120.0,1453.1257079078148,2391.1099050898792
177,32311,1990-11-28,1991,DET,NYK,90.0,83.0,2391.1099050898792,1493.8672043520805
178,32312,1990-11-28,1991,UTA,HOU,103.0,92.0,1517.0120939449937,1514.8992784073096
179,32313,1990-11-28,1991,PHI,IND,116.0,106.0,1556.0397662744642,1461.9901115784915
180,32314,1990-11-28,1991,MIA,NJN,97.0,79.0,1477.86229765866,1475.6340554194073
181,32315,1990-11-28,1991,CHH,MIL,118.0,111.0,1518.6141374293818,1582.3716215175991
182,32316,1990-11-28,1991,CHI,WSB,118.0,94.0,778.5325161419466,1420.366534014209
183,32317,1990-11-28,1991,CLE,GSW,108.0,110.0,1528.4720040520895,1529.6436637434385
184,32318,1990-11-28,1991,DAL,LAC,107.0,88.0,1480.7409611430755,1462.5685088233645
185,32319,1990-11-28,1991,LAL,SAS,97.0,80.0,1524.7497792314136,1557.1169178067503
186,32320,1990-11-29,1991,PHO,SEA,128.0,110.0,1534.931246417206,1444.718230010087
187,32321,1990-11-29,1991,DEN,SAC,136.0,128.0,1383.0889409372157,1369.9668960346767
188,32322,1990-11-29,1991,POR,MIN,107.0,92.0,1635.8741796177596,1439.268900644811
189,32323,1990-11-30,1991,ORL,GSW,113.0,119.0,1390.3324338235918,1543.0271801819654
190,32324,1990-11-30,1991,UTA,MIN,96.0,79.0,1525.98003965853,1431.7008536932865
191,32325,1990-11-30,1991,DET,PHI,96.0,94.0,2400.6968471689333,1556.3467493370363
192,32326,1990-11-30,1991,BOS,WSB,123.0,95.0,1602.4507647086673,1415.1353983778556
193,32327,1990-11-30,1991,ATL,CLE,93.0,101.0,1436.5643405154358,1543.8432091003606
194,32328,1990-11-30,1991,CHI,IND,124.0,95.0,800.2379808615801,1432.415835136283
195,32329,1990-11-30,1991,MIL,NYK,103.0,97.0,1592.5289893391407,1484.59005454566
196,32330,1990-12-01,1991,SAS,DAL,109.0,97.0,1566.7157963200568,1471.2679089953663
197,32331,1990-12-01,1991,CLE,CHI,85.0,120.0,1512.787586863988,822.0873794800576
198,32332,1990-12-01,1991,DEN,LAC,121.0,137.0,1364.9880605526334,1477.0256379077116
199,32333,1990-12-01,1991,HOU,SAC,117.0,93.0,1521.3004462449858,1360.734913246468
200,32334,1990-12-01,1991,MIA,GSW,111.0,137.0,1460.7064240953052,1561.5262974635846
201,32335,1990-12-01,1991,NJN,ORL,111.0,92.0,1483.1974647369248,1380.488365610533
202,32336,1990-12-01,1991,NYK,CHH,113.0,96.0,1500.1418050761224,1504.5622764016407
203,32337,1990-12-01,1991,PHI,BOS,116.0,110.0,1573.8946231401083,1591.4316767624166
204,32338,1990-12-01,1991,PHO,LAL,98.0,108.0,1515.8556435064977,1544.5231904286907
205,32339,1990-12-01,1991,SEA,POR,124.0,130.0,1432.4360429625672,1649.2650627546302
206,32340,1990-12-01,1991,WSB,DET,94.0,83.0,1441.9338819342536,2409.9756714337
207,32341,1990-12-02,1991,LAC,MIN,102.0,77.0,1488.443884072044,1418.0311002487852
208,32342,1990-12-02,1991,POR,UTA,101.0,97.0,1660.5289494659537,1519.398626876687
209,32343,1990-12-02,1991,IND,MIL,107.0,103.0,1449.7274159705078,1575.2239743109046
210,32344,1990-12-03,1991,BOS,SEA,135.0,102.0,1598.6290579315796,1425.178989731701
211,32345,1990-12-03,1991,UTA,WSB,135.0,101.0,1530.1705316034681,1432.6178963309326
212,32346,1990-12-04,1991,CLE,DEN,121.0,117.0,1518.7531209584622,1356.3772171975284
213,32347,1990-12-04,1991,HOU,ATL,110.0,113.0,1498.1795746796477,1456.4265521992593
214,32348,1990-12-04,1991,LAL,DET,114.0,90.0,1574.686242883564,2396.2041640579864
215,32349,1990-12-04,1991,MIA,POR,95.0,98.0,1448.373147615066,1673.7616059641448
216,32350,1990-12-04,1991,NJN,SEA,106.0,102.0,1492.3090090102246,1415.5157772384111
217,32351,1990-12-04,1991,MIN,IND,83.0,81.0,1430.8250141389633,1434.743353391529
218,32352,1990-12-04,1991,SAC,DAL,103.0,83.0,1373.4559587300207,1451.6647758617964
219,32353,1990-12-04,1991,PHI,MIL,109.0,108.0,1588.8171882097179,1563.5653894023853
220,32354,1990-12-04,1991,NYK,ORL,102.0,113.0,1475.2487047863153,1400.3585536037206
221,32355,1990-12-04,1991,CHI,PHO,155.0,127.0,818.5226092418507,1487.8924184258292
222,32356,1990-12-05,1991,UTA,DET,106.0,85.0,1560.4087924590085,2396.7383637179055
223,32357,1990-12-05,1991,LAC,DAL,93.0,89.0,1498.6497813339743,1440.6529383255042
224,32358,1990-12-05,1991,MIL,CLE,113.0,109.0,1577.5618838102469,1510.4169325910277
225,32359,1990-12-05,1991,ORL,POR,110.0,119.0,1390.5452602371975,1688.6609823498534
226,32360,1990-12-05,1991,SAS,ATL,108.0,110.0,1546.934292209949,1479.8536938281086
227,32361,1990-12-05,1991,BOS,DEN,148.0,140.0,1605.6105730058812,1347.8404193499277
228,32362,1990-12-05,1991,GSW,WSB,98.0,104.0,1539.8046954166296,1453.9013089457253
229,32363,1990-12-05,1991,IND,PHO,126.0,121.0,1448.8837904866214,1473.6128751409165
230,32364,1990-12-06,1991,MIA,SEA,103.0,105.0,1425.5108318220598,1432.7777676971778
231,32365,1990-12-06,1991,MIN,LAL,73.0,83.0,1415.4763747104678,1589.147422361123
232,32366,1990-12-06,1991,SAC,WSB,104.0,86.0,1385.3875424062624,1438.825649706295
233,32367,1990-12-06,1991,HOU,CHH,116.0,110.0,1510.5611978451175,1491.0060807543603
234,32368,1990-12-07,1991,PHI,DEN,135.0,126.0,1594.2592312277598,1344.395326581755
235,32369,1990-12-07,1991,ATL,MIL,103.0,104.0,1464.982491678235,1591.9326761544453
236,32370,1990-12-07,1991,CHI,NYK,108.0,98.0,827.2653391571293,1445.4397324603647
237,32371,1990-12-07,1991,DAL,BOS,104.0,112.0,1427.697341809806,1618.6225262919845
238,32372,1990-12-07,1991,GSW,DET,113.0,110.0,1569.5854556777042,2391.7883738661203
239,32373,1990-12-07,1991,IND,POR,105.0,127.0,1438.2438766211742,1703.0915884237759
240,32374,1990-12-07,1991,NJN,PHO,110.0,129.0,1471.4480409225998,1492.8311073015316
241,32375,1990-12-07,1991,ORL,SEA,106.0,100.0,1401.8646292259082,1417.9186583311355
242,32376,1990-12-07,1991,UTA,LAL,101.0,79.0,1575.5069111681744,1578.8505931183963
243,32377,1990-12-08,1991,SAS,BOS,102.0,96.0,1563.8936309258625,1606.01617700394
244,32378,1990-12-08,1991,IND,CLE,114.0,99.0,1455.5312107808463,1494.2394679579065
245,32379,1990-12-08,1991,LAC,UTA,95.0,105.0,1482.424519469734,1592.5287872543247
246,32380,1990-12-08,1991,ORL,PHO,109.0,113.0,1388.286202237696,1509.0964285739833
247,32381,1990-12-08,1991,SAC,DET,93.0,104.0,1379.378514437247,2391.474773616494
248,32382,1990-12-08,1991,ATL,NYK,99.0,86.0,1477.169214735287,1434.2290736295968
249,32383,1990-12-08,1991,CHH,DEN,119.0,126.0,1464.736006928179,1367.3845773458065
250,32384,1990-12-08,1991,CHI,POR,101.0,109.0,817.7914989866388,1706.8449453476615
251,32385,1990-12-08,1991,DAL,HOU,107.0,113.0,1412.5816314307604,1525.4462173075135
252,32386,1990-12-09,1991,MIL,SEA,105.0,99.0,1598.6042576441955,1412.468948822361
253,32387,1990-12-09,1991,LAL,WSB,106.0,99.0,1584.4575049730597,1430.442589869329
254,32388,1990-12-10,1991,NJN,CHH,121.0,115.0,1483.4122417083272,1452.323410374691
255,32389,1990-12-10,1991,HOU,BOS,95.0,107.0,1509.9043518085161,1620.2166228780438
256,32390,1990-12-11,1991,UTA,GSW,135.0,117.0,1603.106390149589,1556.7289581268801
257,32391,1990-12-11,1991,DEN,WSB,128.0,125.0,1383.43622183409,1414.9604482264995
258,32392,1990-12-11,1991,DET,SAS,86.0,95.0,2372.547290324718,1596.424101568481
259,32393,1990-12-11,1991,MIL,CHI,99.0,87.0,1600.2154360803788,807.7229401968259
260,32394,1990-12-11,1991,MIN,LAC,101.0,95.0,1427.4717095485678,1465.9319501069579
261,32395,1990-12-11,1991,NYK,MIA,109.0,90.0,1445.2125392461157,1409.9179666549637
262,32396,1990-12-11,1991,ORL,PHI,114.0,119.0,1376.3183615891537,1607.4676048532283
263,32397,1990-12-11,1991,PHO,SAC,113.0,90.0,1515.8402306488967,1370.5231516705287
264,32398,1990-12-11,1991,POR,IND,122.0,96.0,1712.1223491159808,1451.9712875133214
265,32399,1990-12-12,1991,SEA,IND,99.0,90.0,1425.7429667810172,1438.9326843016463
266,32400,1990-12-12,1991,BOS,MIL,129.0,111.0,1633.719069104683,1589.7807813875354
267,32401,1990-12-12,1991,CHH,SAS,81.0,92.0,1438.7709722582308,1610.2910923565685
268,32402,1990-12-12,1991,CLE,LAC,90.0,100.0,1473.253734214187,1487.8232843637186
269,32403,1990-12-12,1991,LAL,DAL,97.0,112.0,1559.136935435475,1437.6204689197107
270,32404,1990-12-12,1991,MIA,ATL,93.0,118.0,1395.4495759104082,1492.5016472542952
271,32405,1990-12-12,1991,PHI,HOU,100.0,108.0,1585.4098857598256,1533.2390578178004
272,32406,1990-12-13,1991,ATL,NJN,106.0,97.0,1506.2640616582673,1470.5651457235522
273,32407,1990-12-13,1991,GSW,SEA,129.0,106.0,1564.279499635943,1420.0430815944121
274,32408,1990-12-13,1991,MIN,NYK,76.0,87.0,1409.0608760648129,1463.23925904012
275,32409,1990-12-13,1991,PHO,ORL,125.0,114.0,1522.1257548148242,1369.4985821338905
276,32410,1990-12-13,1991,SAC,POR,100.0,88.0,1394.3929982407224,1688.0333206052446
277,32411,1990-12-13,1991,UTA,DEN,141.0,126.0,1608.5635558254214,1377.0513133811314
278,32412,1990-12-14,1991,BOS,DET,108.0,100.0,1664.5284503418259,2357.976091982253
