,index,date,season,team1,team2,score1,score2,team1_elo,team2_elo
258,32398,1990-12-11,1991,POR,IND,122.0,96.0,1638.5004363023002,1467.2633093090133
259,32399,1990-12-12,1991,SEA,IND,99.0,90.0,1451.0331558257492,1457.0012798942535
260,32400,1990-12-12,1991,BOS,MIL,129.0,111.0,1593.4038849210988,1561.1792995501978
261,32401,1990-12-12,1991,CHH,SAS,81.0,92.0,1455.5163134688282,1560.8097882765474
262,32402,1990-12-12,1991,CLE,LAC,90.0,100.0,1489.6200634002837,1503.9217134014916
263,32403,1990-12-12,1991,LAL,DAL,97.0,112.0,1528.3961347675381,1454.6695017746652
264,32404,1990-12-12,1991,MIA,ATL,93.0,118.0,1432.8807819575584,1487.291088135395
265,32405,1990-12-12,1991,PHI,HOU,100.0,108.0,1551.2060547670776,1517.7222667553754
266,32406,1990-12-13,1991,ATL,NJN,106.0,97.0,1496.8940713242093,1480.4230999460908
267,32407,1990-12-13,1991,GSW,SEA,129.0,106.0,2291.246889348441,1450.8830244366145
268,32408,1990-12-13,1991,MIN,NYK,76.0,87.0,1442.1020837844071,1482.5552899195673
269,32409,1990-12-13,1991,PHO,ORL,125.0,114.0,1535.4595662460094,1414.5928577925156
270,32410,1990-12-13,1991,SAC,POR,100.0,88.0,1419.5060046202407,1623.573280139941
271,32411,1990-12-13,1991,UTA,DEN,141.0,126.0,1570.8928505787205,644.576146242554
272,32412,1990-12-14,1991,BOS,DET,108.0,100.0,1602.0012598611142,1546.2064582959788
273,32413,1990-12-14,1991,WSB,HOU,106.0,93.0,1455.1443315765748,1506.2101574575474
274,32414,1990-12-14,1991,PHI,MIA,95.0,92.0,1557.6569142754881,1426.39018421939
275,32415,1990-12-14,1991,POR,DAL,106.0,104.0,1628.6751420858704,1449.4189418174126
276,32416,1990-12-14,1991,CHI,LAC,128.0,88.0,1550.0902998471913,1495.4253870758655
277,32417,1990-12-14,1991,CLE,SAS,106.0,116.0,1482.0137412458114,1568.440869068633
278,32418,1990-12-15,1991,GSW,LAL,109.0,111.0,2279.935471158988,1547.6872825291903
279,32419,1990-12-15,1991,ATL,WSB,125.0,113.0,1505.245703337592,1446.418998739966
280,32420,1990-12-15,1991,CHH,HOU,97.0,100.0,1446.9481793214536,1514.3906629164012
281,32421,1990-12-15,1991,CHI,CLE,116.0,98.0,1558.1800537594588,1474.1863472526848
282,32422,1990-12-15,1991,DEN,PHO,134.0,142.0,638.4002918213966,1535.899541086474
283,32423,1990-12-15,1991,MIA,BOS,100.0,114.0,1420.835555912477,1607.7430021830187
284,32424,1990-12-15,1991,MIL,LAC,98.0,92.0,1569.3841544026725,1487.6599783318295
